final_drop_id	enemy_id	enemy_source	source_id	元drop_id	敵の名前	is_boss	街ID	街名	dungeon_id	ダンジョン名	敵の役割	Lv	敵の型	属性	ドロップ区分	レアドロップ品	レアドロップ種別	排他カテゴリ	ドロップタイミング	ドロップ率(%)	初回確定入手	追加初回報酬	追加初回報酬種別	効果案＿改善後カイゼンゴ	結合元	排他チェック	1体1レア割当チェック	メモ	素材ID	素材カテゴリ	素材レア度	NPC売却価格	市場取引可	主用途	B案ロール	レシピ必要数方針
1197	164	新モンスターマスタ	164	WEV0009	重装機兵	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	雑魚	78	物理型		武器合成素材ドロップ	斬撃の結晶	素材	素材系	通常撃破時	12	NO			斬撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	斬撃系武器の進化素材。	WEV0009	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1198	164	新モンスターマスタ	164	WEV0026	重装機兵	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	雑魚	78	物理型		武器合成素材ドロップ	黒鉄鉱	素材	素材系	通常撃破時	18	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0026	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1199	165	新モンスターマスタ	165	WEV0002	魔導砲台	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	やや強い	79	魔法型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1200	165	新モンスターマスタ	165	WEV0021	魔導砲台	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	やや強い	79	魔法型		武器合成素材ドロップ	魔導の結晶	素材	素材系	通常撃破時	12	NO			魔導系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	魔導系武器の進化素材。	WEV0021	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1201	165	新モンスターマスタ	165	WEV0026	魔導砲台	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	やや強い	79	魔法型		武器合成素材ドロップ	黒鉄鉱	素材	素材系	通常撃破時	14	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0026	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1202	166	新モンスターマスタ	166	WEV0002	鉄巨人試作型	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	レア敵	80	重装型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	12	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1203	166	新モンスターマスタ	166	WEV0018	鉄巨人試作型	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	レア敵	80	重装型		武器合成素材ドロップ	射撃の結晶	素材	素材系	通常撃破時	8	NO			射撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	射撃系武器の進化素材。	WEV0018	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1204	166	新モンスターマスタ	166	WEV0039	鉄巨人試作型	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	レア敵	80	重装型		武器合成素材ドロップ	炉心鋼	素材	素材系	通常撃破時	8	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0039	武器合成素材	SR		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1205	167	新モンスターマスタ	167	WEV0002	鋼鉄巨人	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	ボス候補	80	重装型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	12	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1206	167	新モンスターマスタ	167	WEV0015	鋼鉄巨人	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	ボス候補	80	重装型		武器合成素材ドロップ	打撃の結晶	素材	素材系	通常撃破時	8	NO			打撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	打撃系武器の進化素材。	WEV0015	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1207	167	新モンスターマスタ	167	WEV0026	鋼鉄巨人	0	4	鉄鋼都市グランベルグ	28	古代兵器庫	ボス候補	80	重装型		武器合成素材ドロップ	黒鉄鉱	素材	素材系	通常撃破時	14	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0026	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1209	169	新モンスターマスタ	169	WEV0002	雪スライム	0	5	雪都フロストリア	29	氷雪平原	雑魚	80	耐久型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1210	169	新モンスターマスタ	169	WEV0015	雪スライム	0	5	雪都フロストリア	29	氷雪平原	雑魚	80	耐久型		武器合成素材ドロップ	打撃の結晶	素材	素材系	通常撃破時	12	NO			打撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	打撃系武器の進化素材。	WEV0015	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1211	169	新モンスターマスタ	169	WEV0027	雪スライム	0	5	雪都フロストリア	29	氷雪平原	雑魚	80	耐久型		武器合成素材ドロップ	氷晶石	素材	素材系	通常撃破時	18	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0027	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1212	170	新モンスターマスタ	170	WEV0002	白狼	0	5	雪都フロストリア	29	氷雪平原	雑魚	81	高速型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1213	170	新モンスターマスタ	170	WEV0018	白狼	0	5	雪都フロストリア	29	氷雪平原	雑魚	81	高速型		武器合成素材ドロップ	射撃の結晶	素材	素材系	通常撃破時	12	NO			射撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	射撃系武器の進化素材。	WEV0018	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1214	170	新モンスターマスタ	170	WEV0027	白狼	0	5	雪都フロストリア	29	氷雪平原	雑魚	81	高速型		武器合成素材ドロップ	氷晶石	素材	素材系	通常撃破時	18	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0027	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1215	171	新モンスターマスタ	171	WEV0002	雪原ウサギ	0	5	雪都フロストリア	29	氷雪平原	やや強い	82	標準型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1216	171	新モンスターマスタ	171	WEV0012	雪原ウサギ	0	5	雪都フロストリア	29	氷雪平原	やや強い	82	標準型		武器合成素材ドロップ	刺突の結晶	素材	素材系	通常撃破時	12	NO			刺突系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	刺突系武器の進化素材。	WEV0012	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1217	171	新モンスターマスタ	171	WEV0027	雪原ウサギ	0	5	雪都フロストリア	29	氷雪平原	やや強い	82	標準型		武器合成素材ドロップ	氷晶石	素材	素材系	通常撃破時	14	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0027	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1218	172	新モンスターマスタ	172	WEV0002	氷コウモリ	0	5	雪都フロストリア	29	氷雪平原	レア敵	82	高速型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	12	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1219	172	新モンスターマスタ	172	WEV0018	氷コウモリ	0	5	雪都フロストリア	29	氷雪平原	レア敵	82	高速型		武器合成素材ドロップ	射撃の結晶	素材	素材系	通常撃破時	8	NO			射撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	射撃系武器の進化素材。	WEV0018	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1220	172	新モンスターマスタ	172	WEV0041	氷コウモリ	0	5	雪都フロストリア	29	氷雪平原	レア敵	82	高速型		武器合成素材ドロップ	氷帝晶	素材	素材系	通常撃破時	8	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0041	武器合成素材	SR		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1221	173	新モンスターマスタ	173	WEV0002	氷の番人	0	5	雪都フロストリア	29	氷雪平原	最深部候補	83	標準型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	12	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1222	173	新モンスターマスタ	173	WEV0018	氷の番人	0	5	雪都フロストリア	29	氷雪平原	最深部候補	83	標準型		武器合成素材ドロップ	射撃の結晶	素材	素材系	通常撃破時	8	NO			射撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	射撃系武器の進化素材。	WEV0018	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1223	173	新モンスターマスタ	173	WEV0041	氷の番人	0	5	雪都フロストリア	29	氷雪平原	最深部候補	83	標準型		武器合成素材ドロップ	氷帝晶	素材	素材系	通常撃破時	8	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0041	武器合成素材	SR		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1224	175	新モンスターマスタ	175	WEV0002	吹雪ハーピー	0	5	雪都フロストリア	30	吹雪の峡谷	雑魚	83	高速型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1225	175	新モンスターマスタ	175	WEV0012	吹雪ハーピー	0	5	雪都フロストリア	30	吹雪の峡谷	雑魚	83	高速型		武器合成素材ドロップ	刺突の結晶	素材	素材系	通常撃破時	12	NO			刺突系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	刺突系武器の進化素材。	WEV0012	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1226	175	新モンスターマスタ	175	WEV0027	吹雪ハーピー	0	5	雪都フロストリア	30	吹雪の峡谷	雑魚	83	高速型		武器合成素材ドロップ	氷晶石	素材	素材系	通常撃破時	18	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0027	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1227	176	新モンスターマスタ	176	WEV0002	氷牙ウルフ	0	5	雪都フロストリア	30	吹雪の峡谷	雑魚	84	高速型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1228	176	新モンスターマスタ	176	WEV0018	氷牙ウルフ	0	5	雪都フロストリア	30	吹雪の峡谷	雑魚	84	高速型		武器合成素材ドロップ	射撃の結晶	素材	素材系	通常撃破時	12	NO			射撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	射撃系武器の進化素材。	WEV0018	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1229	176	新モンスターマスタ	176	WEV0027	氷牙ウルフ	0	5	雪都フロストリア	30	吹雪の峡谷	雑魚	84	高速型		武器合成素材ドロップ	氷晶石	素材	素材系	通常撃破時	18	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0027	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1230	177	新モンスターマスタ	177	WEV0002	谷の雪男	0	5	雪都フロストリア	30	吹雪の峡谷	やや強い	85	標準型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1231	177	新モンスターマスタ	177	WEV0015	谷の雪男	0	5	雪都フロストリア	30	吹雪の峡谷	やや強い	85	標準型		武器合成素材ドロップ	打撃の結晶	素材	素材系	通常撃破時	12	NO			打撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	打撃系武器の進化素材。	WEV0015	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1232	177	新モンスターマスタ	177	WEV0027	谷の雪男	0	5	雪都フロストリア	30	吹雪の峡谷	やや強い	85	標準型		武器合成素材ドロップ	氷晶石	素材	素材系	通常撃破時	14	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0027	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1233	178	新モンスターマスタ	178	WEV0002	凍結スライム	0	5	雪都フロストリア	30	吹雪の峡谷	レア敵	85	耐久型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	12	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1234	178	新モンスターマスタ	178	WEV0018	凍結スライム	0	5	雪都フロストリア	30	吹雪の峡谷	レア敵	85	耐久型		武器合成素材ドロップ	射撃の結晶	素材	素材系	通常撃破時	8	NO			射撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	射撃系武器の進化素材。	WEV0018	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1235	178	新モンスターマスタ	178	WEV0041	凍結スライム	0	5	雪都フロストリア	30	吹雪の峡谷	レア敵	85	耐久型		武器合成素材ドロップ	氷帝晶	素材	素材系	通常撃破時	8	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0041	武器合成素材	SR		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1236	179	新モンスターマスタ	179	WEV0002	峡谷の主	0	5	雪都フロストリア	30	吹雪の峡谷	最深部候補	86	標準型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	12	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1237	179	新モンスターマスタ	179	WEV0021	峡谷の主	0	5	雪都フロストリア	30	吹雪の峡谷	最深部候補	86	標準型		武器合成素材ドロップ	魔導の結晶	素材	素材系	通常撃破時	8	NO			魔導系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	魔導系武器の進化素材。	WEV0021	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1238	179	新モンスターマスタ	179	WEV0041	峡谷の主	0	5	雪都フロストリア	30	吹雪の峡谷	最深部候補	86	標準型		武器合成素材ドロップ	氷帝晶	素材	素材系	通常撃破時	8	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0041	武器合成素材	SR		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1239	181	新モンスターマスタ	181	WEV0002	洞窟コウモリ	0	5	雪都フロストリア	31	氷結洞窟	雑魚	86	高速型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1240	181	新モンスターマスタ	181	WEV0012	洞窟コウモリ	0	5	雪都フロストリア	31	氷結洞窟	雑魚	86	高速型		武器合成素材ドロップ	刺突の結晶	素材	素材系	通常撃破時	12	NO			刺突系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	刺突系武器の進化素材。	WEV0012	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1241	181	新モンスターマスタ	181	WEV0027	洞窟コウモリ	0	5	雪都フロストリア	31	氷結洞窟	雑魚	86	高速型		武器合成素材ドロップ	氷晶石	素材	素材系	通常撃破時	18	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0027	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1242	182	新モンスターマスタ	182	WEV0002	ロックワーム	0	5	雪都フロストリア	31	氷結洞窟	雑魚	87	耐久型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1243	182	新モンスターマスタ	182	WEV0015	ロックワーム	0	5	雪都フロストリア	31	氷結洞窟	雑魚	87	耐久型		武器合成素材ドロップ	打撃の結晶	素材	素材系	通常撃破時	12	NO			打撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	打撃系武器の進化素材。	WEV0015	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1244	182	新モンスターマスタ	182	WEV0027	ロックワーム	0	5	雪都フロストリア	31	氷結洞窟	雑魚	87	耐久型		武器合成素材ドロップ	氷晶石	素材	素材系	通常撃破時	18	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0027	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1245	183	新モンスターマスタ	183	WEV0002	ストーンゴーレム	0	5	雪都フロストリア	31	氷結洞窟	やや強い	88	重装型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1246	183	新モンスターマスタ	183	WEV0015	ストーンゴーレム	0	5	雪都フロストリア	31	氷結洞窟	やや強い	88	重装型		武器合成素材ドロップ	打撃の結晶	素材	素材系	通常撃破時	12	NO			打撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	打撃系武器の進化素材。	WEV0015	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1247	183	新モンスターマスタ	183	WEV0027	ストーンゴーレム	0	5	雪都フロストリア	31	氷結洞窟	やや強い	88	重装型		武器合成素材ドロップ	氷晶石	素材	素材系	通常撃破時	14	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0027	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1248	184	新モンスターマスタ	184	WEV0002	地底トカゲ	0	5	雪都フロストリア	31	氷結洞窟	レア敵	88	標準型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	12	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1249	184	新モンスターマスタ	184	WEV0018	地底トカゲ	0	5	雪都フロストリア	31	氷結洞窟	レア敵	88	標準型		武器合成素材ドロップ	射撃の結晶	素材	素材系	通常撃破時	8	NO			射撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	射撃系武器の進化素材。	WEV0018	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1250	184	新モンスターマスタ	184	WEV0041	地底トカゲ	0	5	雪都フロストリア	31	氷結洞窟	レア敵	88	標準型		武器合成素材ドロップ	氷帝晶	素材	素材系	通常撃破時	8	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0041	武器合成素材	SR		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1251	185	新モンスターマスタ	185	WEV0002	洞窟の主	0	5	雪都フロストリア	31	氷結洞窟	最深部候補	89	標準型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	12	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1252	185	新モンスターマスタ	185	WEV0009	洞窟の主	0	5	雪都フロストリア	31	氷結洞窟	最深部候補	89	標準型		武器合成素材ドロップ	斬撃の結晶	素材	素材系	通常撃破時	8	NO			斬撃系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	斬撃系武器の進化素材。	WEV0009	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1253	185	新モンスターマスタ	185	WEV0041	洞窟の主	0	5	雪都フロストリア	31	氷結洞窟	最深部候補	89	標準型		武器合成素材ドロップ	氷帝晶	素材	素材系	通常撃破時	8	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0041	武器合成素材	SR		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1254	187	新モンスターマスタ	187	WEV0002	白銀ウルフ	0	5	雪都フロストリア	32	白銀の森	雑魚	89	高速型		武器合成素材ドロップ	武器の結晶	素材	素材系	通常撃破時	18	NO			武器進化の共通素材。既存レアドロップとは別判定。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	武器進化の共通素材。既存レアドロップとは別判定。	WEV0002	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1255	187	新モンスターマスタ	187	WEV0012	白銀ウルフ	0	5	雪都フロストリア	32	白銀の森	雑魚	89	高速型		武器合成素材ドロップ	刺突の結晶	素材	素材系	通常撃破時	12	NO			刺突系武器の進化素材。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	刺突系武器の進化素材。	WEV0012	武器合成素材	R+		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
1256	187	新モンスターマスタ	187	WEV0027	白銀ウルフ	0	5	雪都フロストリア	32	白銀の森	雑魚	89	高速型		武器合成素材ドロップ	氷晶石	素材	素材系	通常撃破時	18	NO			街ごとの武器進化素材。都市進行に応じた装備進化に使用。	武器進化素材追加	素材枠のため既存レア枠と別判定	対象外	街ごとの武器進化素材。都市進行に応じた装備進化に使用。	WEV0027	武器合成素材	R		0	武器進化・合成	武器進化素材	Gold・輝石なし。装備と素材で進化。
